recorded_hour,day_of_week,week_of_year,is_weekend,line_encoded,total_pass,pass_rate,downtime_rate,availability,performance,quality,downtime_count,total_output
6,6,5,1,0,4.0,0.004705882352941176,0.0,0.9714869318181818,0.7811892045454545,0.9603221590909092,0,850.0
14,6,5,1,0,5.0,0.005592841163310962,0.0,0.9732103448275864,0.7720936781609196,0.9673367816091952,0,894.0
22,0,6,0,0,4.0,0.0038095238095238095,0.0,0.9726114285714286,0.7704497142857143,0.9543937142857144,0,1050.0
6,6,5,1,0,5.0,0.007142857142857143,0.0,0.9579948863636364,0.6420017045454546,0.9496204545454544,0,700.0
14,6,5,1,0,2.0,0.002162162162162162,0.0,0.9595845714285716,0.6536731428571428,0.9767611428571428,0,925.0
22,0,6,0,0,4.0,0.0058823529411764705,0.0,0.960858757062147,0.6334305084745763,0.9482943502824858,0,680.0
6,6,5,1,0,4.0,0.004032258064516129,0.0,0.9711568965517242,0.7715344827586208,0.9542132183908044,0,992.0
14,6,5,1,0,4.0,0.004410143329658214,0.0,0.9698011363636364,0.75509375,0.9680863636363636,0,907.0
22,0,6,0,0,3.0,0.003278688524590164,0.06093750149011612,0.9699949438202248,0.7404140449438202,0.9610904494382022,1,915.0
6,6,5,1,1,4.0,0.0040941658137154556,0.0,0.9694767045454546,0.7222562499999999,0.9522732954545454,0,977.0
14,6,5,1,1,3.0,0.00390625,0.0,0.970316384180791,0.7160909604519774,0.958379661016949,0,768.0
22,0,6,0,1,5.0,0.008532423208191127,0.0,0.9707780898876404,0.6486887640449438,0.9695876404494382,0,586.0
6,6,5,1,1,4.0,0.006644518272425249,0.0,0.9605514124293784,0.6269536723163842,0.9538604519774012,0,602.0
14,6,5,1,1,4.0,0.006201550387596899,0.0,0.961474431818182,0.6564625000000001,0.9428977272727272,0,645.0
22,0,6,0,1,8.0,0.011627906976744186,0.10709635447710752,0.9596569832402236,0.6435245810055866,0.9638513966480448,2,688.0
6,6,5,1,1,3.0,0.003218884120171674,0.0,0.965764,0.7633297142857142,0.9598091428571428,0,932.0
14,6,5,1,1,5.0,0.004970178926441352,0.0,0.961093220338983,0.7580553672316385,0.9796604519774011,0,1006.0
22,0,6,0,1,1.0,0.0009871668311944718,0.0,0.95955530726257,0.7858726256983241,0.97316312849162,0,1013.0
14,6,5,1,2,5.0,0.005319148936170213,0.10709635447710752,0.9675180790960451,0.7758463276836158,0.9586621468926554,1,940.0
22,0,6,0,2,3.0,0.002857142857142857,0.0,0.9660954545454546,0.7738732954545454,0.9695846590909092,0,1050.0
6,6,5,1,2,6.0,0.007643312101910828,0.0,0.9734926553672316,0.6269056497175142,0.955367231638418,0,785.0
14,6,5,1,2,5.0,0.007194244604316547,0.0,0.9717162921348316,0.6548410112359551,0.9551494382022472,0,695.0
6,6,5,1,2,3.0,0.002857142857142857,0.10709635447710752,0.9558448863636364,0.7807528409090909,0.977555681818182,1,1050.0
14,6,5,1,2,3.0,0.003188097768331562,0.10709635447710752,0.959408,0.7887599999999999,0.9514285714285714,1,941.0
22,0,6,0,2,4.0,0.00408997955010225,0.0,0.9592327485380115,0.7542111111111112,0.97113216374269,0,978.0
6,6,5,1,3,6.0,0.0093603744149766,0.0,0.97625197740113,0.6071683615819209,0.9534841807909604,0,641.0
22,0,6,0,3,7.0,0.009150326797385621,0.0,0.9761469273743016,0.5908648044692737,0.9510592178770948,0,765.0
6,6,5,1,3,4.0,0.004434589800443459,0.0,0.9577932203389832,0.7727412429378532,0.9548954802259888,0,902.0
14,6,5,1,3,2.0,0.002190580503833516,0.0,0.9601118644067796,0.7691152542372881,0.9529186440677966,0,913.0
22,0,6,0,3,4.0,0.0040858018386108275,0.03548610955476761,0.9582296511627908,0.8025308139534885,0.9455558139534884,1,979.0
6,6,5,1,3,6.0,0.005714285714285714,0.0,0.970548275862069,0.7340936781609195,0.969635632183908,0,1050.0
22,0,6,0,3,3.0,0.0029702970297029703,0.0,0.9663485875706216,0.7424570621468926,0.9622666666666668,0,1010.0
6,0,6,0,0,3.0,0.002890173410404624,0.0,0.9714869318181818,0.7811892045454545,0.9603221590909092,0,1038.0
14,0,6,0,0,2.0,0.0019047619047619048,0.0,0.9732103448275864,0.7720936781609196,0.9673367816091952,0,1050.0
22,1,6,0,0,2.0,0.0019047619047619048,0.0,0.9726114285714286,0.7704497142857143,0.9543937142857144,0,1050.0
6,0,6,0,0,5.0,0.006305170239596469,0.0,0.9579948863636364,0.6420017045454546,0.9496204545454544,0,793.0
14,0,6,0,0,6.0,0.007317073170731708,0.0,0.9595845714285716,0.6536731428571428,0.9767611428571428,0,820.0
