recorded_date,line_name,shift_name,recorded_hour,day_of_week,week_of_year,month,is_weekend,shift_num,line_encoded,total_output,total_pass,total_reject,reject_rate,pass_rate,downtime_rate,avg_sec_per_unit,availability,perfomance,quality,total_downtime_seconds,downtime_count,troughput,oee_line,total_output,total_reject,efficiency
2026-02-01,Line A,Shift 1,6,6,5,2,1,1,0,850,4,0,0.0,0.004705882352941176,0.0,33.88235294117647,0.9714869318181818,0.7811892045454545,0.9603221590909091,0,0,126.66471590909092,0.7268857954545455,850,0,0.6635
2026-02-01,Line A,Shift 2,14,6,5,2,1,2,0,894,5,0,0.0,0.005592841163310962,0.0,32.214765100671144,0.9732103448275863,0.7720936781609196,0.9673367816091953,0,0,126.53528735632183,0.7261856321839081,894,0,0.6249
2026-02-02,Line A,Shift 3,22,0,6,2,0,3,0,1050,4,0,0.0,0.0038095238095238095,0.0,27.428571428571427,0.9726114285714286,0.7704497142857143,0.9543937142857143,0,0,128.15182857142858,0.7158011428571428,1050,0,0.412
2026-02-01,Line A,Shift 1,6,6,5,2,1,1,0,700,5,0,0.0,0.007142857142857143,0.0,41.142857142857146,0.9579948863636364,0.6420017045454546,0.9496204545454545,0,0,99.07823863636364,0.5804988636363636,700,0,0.8529
2026-02-01,Line A,Shift 2,14,6,5,2,1,2,0,925,2,1,0.001081081081081081,0.002162162162162162,0.0,31.135135135135137,0.9595845714285715,0.6536731428571428,0.9767611428571429,0,0,99.8704,0.6098668571428572,925,1,0.4722
2026-02-02,Line A,Shift 3,22,0,6,2,0,3,0,680,4,0,0.0,0.0058823529411764705,0.0,42.35294117647059,0.960858757062147,0.6334305084745763,0.9482943502824858,0,0,98.41564971751413,0.5724553672316385,680,0,0.5072
2026-02-01,Line A,Shift 1,6,6,5,2,1,1,0,992,4,0,0.0,0.004032258064516129,0.0,29.032258064516128,0.9711568965517242,0.7715344827586208,0.9542132183908045,0,0,121.96528735632184,0.7152005747126438,992,0,0.7082
2026-02-01,Line A,Shift 2,14,6,5,2,1,2,0,907,4,2,0.002205071664829107,0.004410143329658214,0.0,31.75303197353914,0.9698011363636364,0.75509375,0.9680863636363636,0,0,121.75488636363637,0.7072284090909091,907,2,0.6667
2026-02-02,Line A,Shift 3,22,0,6,2,0,3,0,915,3,0,0.0,0.003278688524590164,0.0609375,31.475409836065573,0.9699949438202247,0.7404140449438202,0.9610904494382022,1755,1,120.81398876404494,0.695426404494382,915,0,0.9391
2026-02-01,Line B,Shift 1,6,6,5,2,1,1,1,977,4,0,0.0,0.0040941658137154556,0.0,29.47799385875128,0.9694767045454546,0.7222562499999999,0.9522732954545454,0,0,111.89562500000001,0.6606835227272727,977,0,0.9658
2026-02-01,Line B,Shift 2,14,6,5,2,1,2,1,768,3,0,0.0,0.00390625,0.0,37.5,0.970316384180791,0.7160909604519774,0.958379661016949,0,0,111.57118644067796,0.6649429378531073,768,0,0.5387
2026-02-02,Line B,Shift 3,22,0,6,2,0,3,1,586,5,1,0.0017064846416382253,0.008532423208191127,0.0,49.14675767918089,0.9707780898876404,0.6486887640449438,0.9695876404494382,0,0,108.73803370786516,0.608338202247191,586,1,0.2404
2026-02-01,Line B,Shift 1,6,6,5,2,1,1,1,602,4,0,0.0,0.006644518272425249,0.0,47.840531561461795,0.9605514124293785,0.6269536723163842,0.9538604519774012,0,0,94.99734463276836,0.5716604519774011,602,0,0.4028
2026-02-01,Line B,Shift 2,14,6,5,2,1,2,1,645,4,1,0.0015503875968992248,0.006201550387596899,0.0,44.651162790697676,0.9614744318181819,0.6564625000000001,0.9428977272727272,0,0,95.71289772727273,0.5940198863636363,645,1,0.2152
2026-02-02,Line B,Shift 3,22,0,6,2,0,3,1,688,9,0,0.0,0.01308139534883721,0.11746527777777778,41.86046511627907,0.9596569832402235,0.6435245810055866,0.9638513966480448,3383,2,95.2254189944134,0.5946603351955307,688,0,0.3569
2026-02-01,Line B,Shift 1,6,6,5,2,1,1,1,932,3,0,0.0,0.003218884120171674,0.0,30.901287553648068,0.9657640000000001,0.7633297142857142,0.9598091428571428,0,0,127.83445714285713,0.7084662857142857,932,0,0.4194
2026-02-01,Line B,Shift 2,14,6,5,2,1,2,1,1006,5,0,0.0,0.004970178926441352,0.0,28.628230616302186,0.961093220338983,0.7580553672316385,0.9796604519774011,0,0,127.4880790960452,0.7118265536723164,1006,0,0.3766
2026-02-02,Line B,Shift 3,22,0,6,2,0,3,1,1013,1,0,0.0,0.0009871668311944718,0.0,28.43040473840079,0.9595553072625699,0.7858726256983241,0.9731631284916201,0,0,128.4187150837989,0.7342351955307262,1013,0,1.0
2026-02-01,Line C,Shift 2,14,6,5,2,1,2,2,940,5,0,0.0,0.005319148936170213,0.14413194444444444,30.638297872340427,0.9675180790960451,0.7758463276836158,0.9586621468926554,4151,1,125.83853107344632,0.7159553672316384,940,0,0.8559
2026-02-02,Line C,Shift 3,22,0,6,2,0,3,2,1050,3,0,0.0,0.002857142857142857,0.0,27.428571428571427,0.9660954545454546,0.7738732954545454,0.9695846590909091,0,0,125.31721590909092,0.7257812499999999,1050,0,0.3332
2026-02-01,Line C,Shift 1,6,6,5,2,1,1,2,785,6,0,0.0,0.007643312101910828,0.0,36.68789808917197,0.9734926553672316,0.6269056497175142,0.9553672316384181,0,0,97.6635593220339,0.5813502824858757,785,0,0.7414
2026-02-01,Line C,Shift 2,14,6,5,2,1,2,2,695,5,0,0.0,0.007194244604316547,0.0,41.43884892086331,0.9717162921348315,0.6548410112359551,0.9551494382022473,0,0,97.9258988764045,0.6051241573033708,695,0,0.6364
2026-02-01,Line C,Shift 1,6,6,5,2,1,1,2,1050,3,0,0.0,0.002857142857142857,0.1595486111111111,27.428571428571427,0.9558448863636364,0.7807528409090909,0.9775556818181819,4595,1,130.69335227272725,0.7297176136363636,1050,0,0.8405
2026-02-01,Line C,Shift 2,14,6,5,2,1,2,2,941,3,0,0.0,0.003188097768331562,0.11982638888888889,30.605738575982997,0.959408,0.7887599999999999,0.9514285714285714,3451,1,129.8790857142857,0.7162628571428572,941,0,0.3676
2026-02-02,Line C,Shift 3,22,0,6,2,0,3,2,978,4,0,0.0,0.00408997955010225,0.0,29.447852760736197,0.9592327485380117,0.7542111111111112,0.9711321637426901,0,0,130.86356725146197,0.7041649122807018,978,0,0.3148
2026-02-01,Line D,Shift 1,6,6,5,2,1,1,3,641,6,0,0.0,0.0093603744149766,0.0,44.92979719188767,0.97625197740113,0.6071683615819209,0.9534841807909605,0,0,88.73045197740113,0.5665514124293786,641,0,0.7
2026-02-02,Line D,Shift 3,22,0,6,2,0,3,3,765,7,0,0.0,0.009150326797385621,0.0,37.64705882352941,0.9761469273743016,0.5908648044692737,0.9510592178770949,0,0,89.68357541899442,0.5472212290502794,765,0,0.6858
2026-02-01,Line D,Shift 1,6,6,5,2,1,1,3,902,4,0,0.0,0.004434589800443459,0.0,31.929046563192905,0.9577932203389831,0.7727412429378532,0.9548954802259887,0,0,124.61988700564973,0.7059016949152542,902,0,0.4613
2026-02-01,Line D,Shift 2,14,6,5,2,1,2,3,913,2,0,0.0,0.002190580503833516,0.0,31.54435925520263,0.9601118644067796,0.7691152542372881,0.9529186440677966,0,0,124.07531073446329,0.701254802259887,913,0,0.8112
2026-02-02,Line D,Shift 3,22,0,6,2,0,3,3,979,4,0,0.0,0.0040858018386108275,0.035486111111111114,29.417773237997956,0.9582296511627908,0.8025308139534885,0.9455558139534884,1022,1,125.79796511627907,0.7229529069767442,979,0,0.8788
2026-02-01,Line D,Shift 1,6,6,5,2,1,1,3,1050,6,0,0.0,0.005714285714285714,0.0,27.428571428571427,0.970548275862069,0.7340936781609195,0.969635632183908,0,0,116.3509195402299,0.6886327586206897,1050,0,1.0
2026-02-02,Line D,Shift 3,22,0,6,2,0,3,3,1010,3,0,0.0,0.0029702970297029703,0.0,28.514851485148515,0.9663485875706215,0.7424570621468926,0.9622666666666667,0,0,115.46514124293786,0.6876158192090396,1010,0,0.9367
2026-02-02,Line A,Shift 1,6,0,6,2,0,1,0,1038,3,0,0.0,0.002890173410404624,0.0,27.745664739884393,0.9714869318181818,0.7811892045454545,0.9603221590909091,0,0,126.66471590909092,0.7268857954545455,1038,0,1.0
2026-02-02,Line A,Shift 2,14,0,6,2,0,2,0,1050,2,0,0.0,0.0019047619047619048,0.0,27.428571428571427,0.9732103448275863,0.7720936781609196,0.9673367816091953,0,0,126.53528735632183,0.7261856321839081,1050,0,1.0
2026-02-03,Line A,Shift 3,22,1,6,2,0,3,0,1050,2,1,0.0009523809523809524,0.0019047619047619048,0.0,27.428571428571427,0.9726114285714286,0.7704497142857143,0.9543937142857143,0,0,128.15182857142858,0.7158011428571428,1050,1,0.4686
2026-02-02,Line A,Shift 1,6,0,6,2,0,1,0,793,5,0,0.0,0.006305170239596469,0.0,36.31778058007566,0.9579948863636364,0.6420017045454546,0.9496204545454545,0,0,99.07823863636364,0.5804988636363636,793,0,0.7726
2026-02-02,Line A,Shift 2,14,0,6,2,0,2,0,820,6,0,0.0,0.007317073170731708,0.0,35.1219512195122,0.9595845714285715,0.6536731428571428,0.9767611428571429,0,0,99.8704,0.6098668571428572,820,0,0.3172
2026-02-03,Line A,Shift 3,22,1,6,2,0,3,0,591,2,0,0.0,0.00338409475465313,0.03788194444444445,48.73096446700507,0.960858757062147,0.6334305084745763,0.9482943502824858,1091,1,98.41564971751413,0.5724553672316385,591,0,0.2331
2026-02-02,Line A,Shift 1,6,0,6,2,0,1,0,950,3,0,0.0,0.003157894736842105,0.10288194444444444,30.31578947368421,0.9711568965517242,0.7715344827586208,0.9542132183908045,2963,1,121.96528735632184,0.7152005747126438,950,0,0.6119
2026-02-02,Line A,Shift 2,14,0,6,2,0,2,0,777,2,0,0.0,0.002574002574002574,0.08145833333333333,37.06563706563706,0.9698011363636364,0.75509375,0.9680863636363636,2346,1,121.75488636363637,0.7072284090909091,777,0,0.9073
2026-02-03,Line A,Shift 3,22,1,6,2,0,3,0,952,3,0,0.0,0.0031512605042016808,0.0,30.252100840336134,0.9699949438202247,0.7404140449438202,0.9610904494382022,0,0,120.81398876404494,0.695426404494382,952,0,0.6231
2026-02-02,Line B,Shift 1,6,0,6,2,0,1,1,711,2,0,0.0,0.0028129395218002813,0.0,40.50632911392405,0.9694767045454546,0.7222562499999999,0.9522732954545454,0,0,111.89562500000001,0.6606835227272727,711,0,0.9221
2026-02-02,Line B,Shift 2,14,0,6,2,0,2,1,832,2,0,0.0,0.002403846153846154,0.0,34.61538461538461,0.970316384180791,0.7160909604519774,0.958379661016949,0,0,111.57118644067796,0.6649429378531073,832,0,0.4536
2026-02-03,Line B,Shift 3,22,1,6,2,0,3,1,943,1,0,0.0,0.0010604453870625664,0.0,30.54082714740191,0.9707780898876404,0.6486887640449438,0.9695876404494382,0,0,108.73803370786516,0.608338202247191,943,0,1.0
2026-02-02,Line B,Shift 1,6,0,6,2,0,1,1,756,2,0,0.0,0.0026455026455026454,0.1340625,38.095238095238095,0.9605514124293785,0.6269536723163842,0.9538604519774012,3861,2,94.99734463276836,0.5716604519774011,756,0,0.4809
