id,name_machine,status,next_maintenance,last_maintenance,total_running_hours,total_downtime_hours
081f1278-fb94-44c6-a64f-edfe6a0596ca,Vision Inspection 01,active,2026-09-21 09:00:00,2026-08-22 09:00:00,9539.7,85.6
40562c3a-a3ca-42ce-845b-a30eb7d29baf,Torque Screwdriver Cell 02,active,2026-09-05 09:00:00,2026-08-15 09:00:00,4764.2,556.8
ae7bd7e8-7685-4fe3-b072-678fa364e511,Wire Bonding 03,active,2026-09-15 09:00:00,2026-08-25 09:00:00,9961.8,271.6
3faf3afb-3555-496f-87f9-3d4c5eff547d,Assembly Robot 04,active,2026-08-25 09:00:00,2026-07-26 09:00:00,6877.7,47.7
59c27b6a-036f-4fd3-acc7-5411c8abbf45,CNC Milling 05,active,2026-09-24 09:00:00,2026-08-25 09:00:00,7764.1,457.3
62a463fd-f0a0-4e9a-8b62-d6f515166742,Torque Screwdriver Cell 06,active,2026-08-31 09:00:00,2026-07-02 09:00:00,11663.0,536.9
5f17b65f-ce14-4947-ae69-a69b764f7954,Injection Molding 07,active,2026-09-21 09:00:00,2026-07-23 09:00:00,2738.3,285.4
7a617b8f-449e-44c6-9bc5-128ab2b92b57,Injection Molding 08,downtime,2026-08-16 09:00:00,2026-07-17 09:00:00,2274.3,413.0
6ff72bf1-604d-40ea-937e-af3286af29fa,Packaging Machine 09,active,2026-09-20 09:00:00,2026-08-30 09:00:00,11626.4,202.2
e5e8c561-1fca-41f2-a05b-155361b81152,Conveyor & Sorter 10,maintenance,2026-09-01 09:00:00,2026-07-18 09:00:00,5899.9,121.8
ea775db1-2c5b-493f-be45-ec74f3758731,Torque Screwdriver Cell 11,active,2026-08-20 09:00:00,2026-06-21 09:00:00,5970.6,143.9
1e561bdf-0f39-43a8-855d-b1884d670ac3,SMT Placement 12,active,2026-09-16 09:00:00,2026-08-26 09:00:00,5527.2,501.3
