total_output,avg_cycle_time_sec,throughput_units_per_hour,shift_total_pass,operating_seconds,oee,availability,performance,quality,total_produced,total_pass,total_reject,defect_rate,cum_running_hours,days_since_last_maintenance,corrective_wo_last_7d,preventive_wo_last_30d,hours_to_next_failure_event,hour_of_day,day_of_week,week_of_year,month,is_weekend,is_night_shift,machine_encoded,line_encoded,failure_binary,risk_level_encoded
850,24.87,106.25,4,28800.0,0.6635,1.0,0.6635,1.0,4.0,4.0,0.0,0.0,92.19,,0,0,148.93,11,6,5,2,1,0,10,0,0,0
894,20.34,111.75,5,28800.0,0.6249,1.0,0.6249,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,142.23,18,6,5,2,1,0,10,0,0,0
1038,29.71,129.75,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,92.19,,0,0,123.11,13,0,6,2,0,0,10,0,0,0
1050,44.78,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,92.19,,0,0,121.38,15,0,6,2,0,0,10,0,0,0
1050,11.79,131.25,4,28800.0,0.412,1.0,0.412,1.0,3.0,2.0,0.0,0.0,92.19,,0,0,106.88,5,1,6,2,0,1,10,0,0,0
868,17.89,108.5,2,28800.0,0.4325,1.0,0.4325,1.0,2.0,2.0,0.0,0.0,92.19,,0,0,106.48,6,1,6,2,0,0,10,0,0,0
920,15.6,115.0,5,28800.0,0.4424,1.0,0.4424,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,97.1,15,1,6,2,0,0,10,0,0,0
1050,25.36,131.25,2,28800.0,0.4686,1.0,0.7029,1.0,3.0,2.0,0.0,0.0,92.19,,0,0,89.86,22,1,6,2,0,1,10,0,0,0
877,40.47,116.37,5,27131.0,0.942,0.942,1.0,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,82.46,6,2,6,2,0,0,10,0,0,0
923,48.3,119.88,5,27717.0,0.9624,0.9624,1.0,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,70.66,17,2,6,2,0,0,10,0,0,0
1050,45.53,136.88,4,27616.0,0.9589,0.9589,1.0,1.0,4.0,4.0,0.0,0.0,125.46,,1,0,60.43,4,3,6,2,0,1,10,0,0,0
843,19.33,105.38,6,28800.0,0.4326,1.0,0.4326,1.0,6.0,6.0,0.0,0.0,125.46,,1,0,56.08,8,3,6,2,0,0,10,0,0,0
1050,33.01,131.25,5,28800.0,0.8333,1.0,1.0,1.0,6.0,5.0,0.0,0.0,125.46,,1,0,46.7,17,3,6,2,0,0,10,0,0,0
975,27.03,121.88,4,28800.0,0.7208,1.0,0.7208,1.0,3.0,2.0,0.0,0.0,125.46,,1,0,36.6,3,4,6,2,0,1,10,0,0,0
1046,23.11,145.76,5,25834.0,0.6271,0.897,0.8389,1.0,6.0,5.0,0.0,0.0,157.15,0.15,1,1,28.2,12,4,6,2,0,0,10,0,0,0
983,17.16,133.56,4,26496.0,0.4772,0.92,0.5187,1.0,4.0,4.0,0.0,0.0,157.15,0.45,1,1,21.0,19,4,6,2,0,0,10,0,1,3
