total_output,avg_cycle_time_sec,throughput_units_per_hour,shift_total_pass,operating_seconds,oee,availability,performance,quality,total_produced,total_pass,total_reject,defect_rate,cum_running_hours,days_since_last_maintenance,corrective_wo_last_7d,preventive_wo_last_30d,hour_of_day,day_of_week,week_of_year,month,is_weekend,is_night_shift,machine_encoded,line_encoded,risk_level_encoded
1046,23.11,145.76,5,25834.0,0.6271,0.897,0.8389,1.0,6.0,5.0,0.0,0.0,157.15,0.15,1,1,12,4,6,2,0,0,10,0,0
983,17.16,133.56,4,26496.0,0.4772,0.92,0.5187,1.0,4.0,4.0,0.0,0.0,157.15,0.45,1,1,19,4,6,2,0,0,10,0,3
1029,9.63,136.5,2,27139.0,0.2068,0.9423,0.3291,1.0,4.0,3.0,0.0,0.0,157.15,0.82,1,1,4,5,6,2,1,1,10,0,3
1050,43.62,154.39,6,25715.625,0.8501,0.8929374999999999,1.0,1.0,6.0,6.0,0.0,0.0,157.15,1.16,1,1,12,5,6,2,1,0,10,0,3
1050,32.44,152.14,6,25715.625,0.8627,0.8929374999999999,1.0,1.0,6.0,6.0,0.0,0.0,225.82,1.45,2,1,19,5,6,2,1,0,10,0,0
992,22.76,141.56,3,25715.625,0.5229,0.8929374999999999,0.7959,1.0,6.0,6.0,0.0,0.0,225.82,1.84,2,1,5,6,6,2,1,1,10,0,0
1050,25.93,131.25,4,28800.0,0.9439,1.0,0.9439,1.0,4.0,4.0,0.0,0.0,225.82,2.06,2,1,10,6,6,2,1,0,10,0,0
986,12.57,123.25,3,28800.0,0.321,1.0,0.428,1.0,4.0,3.0,0.0,0.0,225.82,2.46,2,1,19,6,6,2,1,0,10,0,0
899,33.56,112.38,6,28800.0,0.9589,1.0,0.9589,1.0,6.0,6.0,0.0,0.0,225.82,2.59,2,1,23,6,6,2,1,1,10,0,0
986,15.57,123.25,2,28800.0,0.4129,1.0,0.4129,1.0,2.0,2.0,0.0,0.0,225.82,2.88,2,1,6,0,7,2,0,0,10,0,0
960,10.28,120.0,4,28800.0,0.334,1.0,0.334,1.0,4.0,4.0,0.0,0.0,225.82,3.35,2,1,17,0,7,2,0,0,10,0,1
1050,26.47,131.25,4,28800.0,0.7857,1.0,0.7857,1.0,4.0,4.0,0.0,0.0,225.82,3.65,2,1,0,1,7,2,0,1,10,0,1
1050,11.33,135.64,4,27867.0,0.3258,0.9676,0.4209,1.0,5.0,4.0,0.0,0.0,225.82,3.92,2,1,7,1,7,2,0,0,10,0,1
1050,18.95,136.99,3,27593.0,0.6012,0.9581,0.6275,1.0,3.0,3.0,0.0,0.0,371.7,4.44,3,1,19,1,7,2,0,0,10,0,0
1050,20.9,136.45,4,27703.0,0.572,0.9619,0.5947,1.0,4.0,4.0,0.0,0.0,371.7,4.77,3,1,3,2,7,2,0,1,10,0,0
1047,33.3,130.88,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,371.7,5.1,3,1,11,2,7,2,0,0,10,0,0
1050,40.63,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,371.7,5.51,2,1,21,2,7,2,0,0,10,0,0
1050,25.56,131.25,4,28800.0,0.7386,1.0,0.7386,1.0,3.0,3.0,0.0,0.0,371.7,5.69,2,1,1,3,7,2,0,1,10,0,0
1007,23.52,125.88,5,28800.0,0.6601,1.0,0.6601,1.0,5.0,5.0,0.0,0.0,371.7,6.09,2,1,11,3,7,2,0,0,10,0,0
1050,31.95,131.25,5,28800.0,0.8714,1.0,0.8714,1.0,5.0,5.0,0.0,0.0,371.7,6.28,2,1,15,3,7,2,0,0,10,0,0
1050,43.48,131.25,3,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,371.7,6.66,2,1,0,4,7,2,0,1,10,0,0
998,15.67,124.75,6,28800.0,0.4065,1.0,0.4065,1.0,6.0,6.0,0.0,0.0,371.7,6.91,2,1,6,4,7,2,0,0,10,0,0
947,47.97,118.38,3,28800.0,0.75,1.0,1.0,1.0,4.0,3.0,0.0,0.0,371.7,7.27,2,1,15,4,7,2,0,0,10,0,0
1050,36.75,131.25,5,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,371.7,7.86,2,1,5,5,7,2,1,1,10,0,0
945,38.4,118.12,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,371.7,7.89,2,1,6,5,7,2,1,0,10,0,0
