total_output,avg_cycle_time_sec,throughput_units_per_hour,shift_total_pass,operating_seconds,oee,availability,performance,quality,total_produced,total_pass,total_reject,defect_rate,cum_running_hours,days_since_last_maintenance,corrective_wo_last_7d,preventive_wo_last_30d,hour_of_day,day_of_week,week_of_year,month,is_weekend,is_night_shift,machine_encoded,line_encoded,hours_to_next_failure_event
850,24.87,106.25,4,28800.0,0.6635,1.0,0.6635,1.0,4.0,4.0,0.0,0.0,92.19,,0,0,11,6,5,2,1,0,10,0,148.93
894,20.34,111.75,5,28800.0,0.6249,1.0,0.6249,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,18,6,5,2,1,0,10,0,142.23
1038,29.71,129.75,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,92.19,,0,0,13,0,6,2,0,0,10,0,123.11
1050,44.78,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,92.19,,0,0,15,0,6,2,0,0,10,0,121.38
1050,11.79,131.25,4,28800.0,0.412,1.0,0.412,1.0,3.0,2.0,0.0,0.0,92.19,,0,0,5,1,6,2,0,1,10,0,106.88
868,17.89,108.5,2,28800.0,0.4325,1.0,0.4325,1.0,2.0,2.0,0.0,0.0,92.19,,0,0,6,1,6,2,0,0,10,0,106.48
920,15.6,115.0,5,28800.0,0.4424,1.0,0.4424,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,15,1,6,2,0,0,10,0,97.1
1050,25.36,131.25,2,28800.0,0.4686,1.0,0.7029,1.0,3.0,2.0,0.0,0.0,92.19,,0,0,22,1,6,2,0,1,10,0,89.86
877,40.47,116.37,5,27131.0,0.942,0.942,1.0,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,6,2,6,2,0,0,10,0,82.46
923,48.3,119.88,5,27717.0,0.9624,0.9624,1.0,1.0,5.0,5.0,0.0,0.0,92.19,,0,0,17,2,6,2,0,0,10,0,70.66
1050,45.53,136.88,4,27616.0,0.9589,0.9589,1.0,1.0,4.0,4.0,0.0,0.0,125.46,,1,0,4,3,6,2,0,1,10,0,60.43
843,19.33,105.38,6,28800.0,0.4326,1.0,0.4326,1.0,6.0,6.0,0.0,0.0,125.46,,1,0,8,3,6,2,0,0,10,0,56.08
1050,33.01,131.25,5,28800.0,0.8333,1.0,1.0,1.0,6.0,5.0,0.0,0.0,125.46,,1,0,17,3,6,2,0,0,10,0,46.7
975,27.03,121.88,4,28800.0,0.7208,1.0,0.7208,1.0,3.0,2.0,0.0,0.0,125.46,,1,0,3,4,6,2,0,1,10,0,36.6
1046,23.11,145.76,5,25834.0,0.6271,0.897,0.8389,1.0,6.0,5.0,0.0,0.0,157.15,0.15,1,1,12,4,6,2,0,0,10,0,28.2
983,17.16,133.56,4,26496.0,0.4772,0.92,0.5187,1.0,4.0,4.0,0.0,0.0,157.15,0.45,1,1,19,4,6,2,0,0,10,0,21.0
1029,9.63,136.5,2,27139.0,0.2068,0.9423,0.3291,1.0,4.0,3.0,0.0,0.0,157.15,0.82,1,1,4,5,6,2,1,1,10,0,11.9
1050,43.62,154.39,6,25715.625,0.8501,0.8929374999999999,1.0,1.0,6.0,6.0,0.0,0.0,157.15,1.16,1,1,12,5,6,2,1,0,10,0,3.75
1050,32.44,152.14,6,25715.625,0.8627,0.8929374999999999,1.0,1.0,6.0,6.0,0.0,0.0,225.82,1.45,2,1,19,5,6,2,1,0,10,0,68.24
992,22.76,141.56,3,25715.625,0.5229,0.8929374999999999,0.7959,1.0,6.0,6.0,0.0,0.0,225.82,1.84,2,1,5,6,6,2,1,1,10,0,58.85
1050,25.93,131.25,4,28800.0,0.9439,1.0,0.9439,1.0,4.0,4.0,0.0,0.0,225.82,2.06,2,1,10,6,6,2,1,0,10,0,53.7
986,12.57,123.25,3,28800.0,0.321,1.0,0.428,1.0,4.0,3.0,0.0,0.0,225.82,2.46,2,1,19,6,6,2,1,0,10,0,44.19
899,33.56,112.38,6,28800.0,0.9589,1.0,0.9589,1.0,6.0,6.0,0.0,0.0,225.82,2.59,2,1,23,6,6,2,1,1,10,0,40.85
986,15.57,123.25,2,28800.0,0.4129,1.0,0.4129,1.0,2.0,2.0,0.0,0.0,225.82,2.88,2,1,6,0,7,2,0,0,10,0,33.99
960,10.28,120.0,4,28800.0,0.334,1.0,0.334,1.0,4.0,4.0,0.0,0.0,225.82,3.35,2,1,17,0,7,2,0,0,10,0,22.67
1050,26.47,131.25,4,28800.0,0.7857,1.0,0.7857,1.0,4.0,4.0,0.0,0.0,225.82,3.65,2,1,0,1,7,2,0,1,10,0,15.5
1050,11.33,135.64,4,27867.0,0.3258,0.9676,0.4209,1.0,5.0,4.0,0.0,0.0,225.82,3.92,2,1,7,1,7,2,0,0,10,0,9.0
1050,18.95,136.99,3,27593.0,0.6012,0.9581,0.6275,1.0,3.0,3.0,0.0,0.0,371.7,4.44,3,1,19,1,7,2,0,0,10,0,268.56
1050,20.9,136.45,4,27703.0,0.572,0.9619,0.5947,1.0,4.0,4.0,0.0,0.0,371.7,4.77,3,1,3,2,7,2,0,1,10,0,260.63
1047,33.3,130.88,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,371.7,5.1,3,1,11,2,7,2,0,0,10,0,252.66
1050,40.63,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,371.7,5.51,2,1,21,2,7,2,0,0,10,0,242.86
1050,25.56,131.25,4,28800.0,0.7386,1.0,0.7386,1.0,3.0,3.0,0.0,0.0,371.7,5.69,2,1,1,3,7,2,0,1,10,0,238.58
1007,23.52,125.88,5,28800.0,0.6601,1.0,0.6601,1.0,5.0,5.0,0.0,0.0,371.7,6.09,2,1,11,3,7,2,0,0,10,0,229.03
1050,31.95,131.25,5,28800.0,0.8714,1.0,0.8714,1.0,5.0,5.0,0.0,0.0,371.7,6.28,2,1,15,3,7,2,0,0,10,0,224.53
1050,43.48,131.25,3,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,371.7,6.66,2,1,0,4,7,2,0,1,10,0,215.26
998,15.67,124.75,6,28800.0,0.4065,1.0,0.4065,1.0,6.0,6.0,0.0,0.0,371.7,6.91,2,1,6,4,7,2,0,0,10,0,209.4
947,47.97,118.38,3,28800.0,0.75,1.0,1.0,1.0,4.0,3.0,0.0,0.0,371.7,7.27,2,1,15,4,7,2,0,0,10,0,200.66
1050,36.75,131.25,5,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,371.7,7.86,2,1,5,5,7,2,1,1,10,0,186.5
945,38.4,118.12,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,371.7,7.89,2,1,6,5,7,2,1,0,10,0,185.9
1050,14.1,131.25,5,28800.0,0.4094,1.0,0.4094,1.0,5.0,5.0,0.0,0.0,371.7,8.36,1,1,17,5,7,2,1,0,10,0,174.48
1050,13.85,131.25,4,28800.0,0.4287,1.0,0.4287,1.0,5.0,5.0,0.0,0.0,371.7,8.73,1,1,2,6,7,2,1,1,10,0,165.51
934,16.88,116.75,5,28800.0,0.3546,1.0,0.4255,1.0,6.0,5.0,0.0,0.0,371.7,9.2,1,1,13,6,7,2,1,0,10,0,154.38
944,40.78,118.0,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,371.7,9.41,1,1,18,6,7,2,1,0,10,0,149.31
1050,14.33,131.25,5,28800.0,0.4794,1.0,0.4794,1.0,3.0,3.0,0.0,0.0,371.7,9.68,1,1,1,0,8,2,0,1,10,0,142.93
1018,12.5,132.18,5,27725.0,0.3332,0.9627,0.4153,1.0,6.0,5.0,0.0,0.0,371.7,10.11,1,1,11,0,8,2,0,0,10,0,132.43
873,44.05,113.16,3,27772.0,0.9643,0.9643,1.0,1.0,3.0,3.0,0.0,0.0,371.7,10.38,1,1,17,0,8,2,0,0,10,0,126.08
1033,11.45,133.91,3,27770.0,0.3554,0.9642,0.3686,1.0,3.0,3.0,0.0,0.0,378.72,0.13,1,2,22,0,8,2,0,1,10,0,121.55
1050,33.57,131.25,3,28800.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,490.83,0.75,1,3,13,1,8,2,0,0,10,0,106.81
1000,32.51,125.0,4,28800.0,0.8517,1.0,0.8517,1.0,4.0,4.0,0.0,0.0,490.83,0.94,0,3,17,1,8,2,0,0,10,0,102.1
956,17.29,119.5,2,28800.0,0.5404,1.0,0.5404,1.0,7.0,7.0,0.0,0.0,490.83,1.25,0,3,1,2,8,2,0,1,10,0,94.73
997,30.6,124.62,3,28800.0,0.8024,1.0,0.8024,1.0,3.0,3.0,0.0,0.0,490.83,1.61,0,3,9,2,8,2,0,0,10,0,86.15
1050,50.28,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,490.83,1.93,0,3,17,2,8,2,0,0,10,0,78.36
939,43.55,117.38,7,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,490.83,2.31,0,3,2,3,8,2,0,1,10,0,69.23
1001,40.43,125.12,5,28800.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,490.83,2.72,0,3,12,3,8,2,0,0,10,0,59.46
923,15.3,115.38,3,28800.0,0.3862,1.0,0.3862,1.0,3.0,3.0,0.0,0.0,490.83,3.01,0,3,19,3,8,2,0,0,10,0,52.48
1050,20.55,131.25,4,28800.0,0.6132,1.0,0.6132,1.0,2.0,1.0,0.0,0.0,490.83,3.29,0,3,2,4,8,2,0,1,10,0,45.86
936,22.46,117.0,2,28800.0,0.5558,1.0,0.5558,1.0,2.0,2.0,0.0,0.0,490.83,3.65,0,3,10,4,8,2,0,0,10,0,37.13
1050,33.63,131.25,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,490.83,3.85,0,3,15,4,8,2,0,0,10,0,32.41
994,39.38,124.25,1,28800.0,0.5,1.0,1.0,1.0,2.0,1.0,0.0,0.0,490.83,4.16,0,3,23,4,8,2,0,1,10,0,24.88
949,18.5,118.62,4,28800.0,0.3908,1.0,0.5862,1.0,6.0,4.0,0.0,0.0,490.83,4.5,0,3,7,5,8,2,1,0,10,0,16.71
1045,17.88,130.62,5,28800.0,0.586,1.0,0.586,1.0,5.0,5.0,0.0,0.0,490.83,5.09,0,3,21,5,8,2,1,0,10,0,2.68
1050,13.38,131.25,7,28800.0,0.3959,1.0,0.4524,1.0,4.0,3.0,0.0,0.0,552.25,5.28,1,3,2,6,8,2,1,1,10,0,63.57
1007,32.6,129.3,3,28037.0,0.9301,0.9735,0.9554,1.0,3.0,3.0,0.0,0.0,552.25,5.62,1,3,10,6,8,2,1,0,10,0,55.34
1050,45.32,140.03,2,26994.0,0.9373,0.9373,1.0,1.0,2.0,2.0,0.0,0.0,552.25,6.06,1,3,20,6,8,2,1,0,10,0,44.77
1050,13.22,139.93,3,27014.0,0.312,0.938,0.4435,1.0,4.0,3.0,0.0,0.0,552.25,6.15,1,3,22,6,8,2,1,1,10,0,42.64
1050,37.85,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,552.25,6.48,1,3,6,0,9,2,0,0,10,0,34.65
1020,35.84,127.5,2,28800.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,552.25,6.92,1,3,17,0,9,2,0,0,10,0,24.12
971,12.38,121.38,3,28800.0,0.2911,1.0,0.3881,1.0,4.0,3.0,0.0,0.0,552.25,7.16,1,3,23,0,9,2,0,1,10,0,18.42
1006,23.0,155.74,3,25715.625,0.7359,0.8929374999999999,0.9115,1.0,3.0,3.0,0.0,0.0,552.25,7.64,1,3,10,1,9,2,0,0,10,0,6.79
881,20.08,145.38,2,25715.625,0.5265,0.8929374999999999,0.695,1.0,2.0,2.0,0.0,0.0,630.55,8.08,2,3,21,1,9,2,0,0,10,0,219.92
1050,29.14,144.16,3,26221.0,0.9105,0.9105,1.0,1.0,0.0,0.0,0.0,0.0,630.55,8.3,2,3,2,2,9,2,0,1,10,0,214.52
1050,33.42,131.25,4,28800.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,630.55,8.74,2,3,13,2,9,2,0,0,10,0,204.07
